current_time_traffic_sign,frame_processing_traffic_sign
0.0,26.168296074614982
0.004987,26.63784840453088
0.045611,26.72389080216133
0.084673,26.119968599149907
0.123545,26.18289380075011
0.163473,26.42180874657183
0.203516,26.811622398911474
0.242306,26.45526439848573
0.283383,26.13461744040039
0.322048,26.418519140965472
0.361943,26.329790749489717
0.400837,26.113823886788577
0.439733,26.496205159277817
0.479629,26.328634344466767
0.518525,26.977707393357765
0.557419,26.152464025885024
0.59634,26.96129825397334
0.636207,26.799347640953986
0.675113,26.86436893774907
0.713999,26.892166478519087
0.752895,26.560508191557304
0.791791,26.798947687955515
0.83383,26.97643385973604
0.872579,26.054949107532444
0.912471,26.686119302421297
0.952393,26.051538504398767
0.991257,26.316572876710953
1.031182,26.62841682037893
1.070047,26.515552872814915
1.108945,26.117391442593924
1.151828,26.93252795158478
1.191724,26.669544552569263
1.230619,26.944594487278124
1.269513,26.07787687807286
1.308441,26.1668417013073
1.348346,26.86792339851189
1.391188,26.91632344870665
1.430087,26.9296896547928
1.469013,26.935421140426865
1.507908,26.733379604198493
1.546786,26.813348281683936
1.592673,26.13295857542305
1.634537,26.295527440579136
1.674477,26.306576207611712
1.714324,26.84434796346372
1.754039,27.01622706083726
1.792937,26.650012389191943
1.834433,27.00069771025149
1.873334,26.198082395160377
1.912228,26.674265847963426
1.954112,26.476932475204165
1.993037,26.178812342671673
2.031943,26.949680899717244
2.071846,26.367665460562353
2.110816,26.668402199569673
2.149615,26.680879036277755
2.188485,26.969537220717175
2.227382,26.38990006650215
2.271264,26.571060339712602
2.310162,26.49909944152172
2.349059,26.267765578156396
2.388049,26.53006604225743
2.428855,26.54364390177805
2.468736,26.88503110364341
2.507633,26.975750811939584
2.546589,26.07167288419343
2.586421,26.72664248254897
2.626322,26.116309357707603
2.668247,26.36548198880079
2.708121,26.220236055073286
2.746992,26.419657453016345
2.788023,26.264383356914944
2.82678,26.689165196468068
2.870661,26.58693261178206
2.909556,26.342240111111863
2.948455,26.84294615759464
2.987387,26.22594435332819
3.026245,26.417012702001163
3.066169,26.570844427909535
3.105063,26.833927220066776
3.14387,26.568955282642584
3.182757,26.284041421752494
3.221657,26.921650903861796
3.261575,27.024793068246666
3.301442,26.101119376957296
3.340485,26.537081977474195
3.37997,26.5163143118748
3.418896,26.978417686165965
3.457622,26.619349925271283
3.496521,26.36832454155673
3.535414,26.817350700220043
3.574851,26.744624752962533
3.613751,26.295640171542995
3.653675,26.23987441415632
3.693566,26.48966291193416
3.735565,26.503979840008274
3.77432,26.131986675674607
3.813216,26.230178375051306
3.853252,26.377465610083515
3.893003,26.917162504739807
3.932895,26.169415054989702
3.971789,26.337447395806212
4.011683,26.577173498788007
4.050579,26.75644854513656
4.089508,26.767657729884352
4.12837,26.944437678619828
4.168264,26.75475817050841
4.207374,26.938408939452433
4.24609,26.589263019742578
4.284983,26.2054351917993
4.323851,26.7301389321273
4.363744,26.309477202274344
4.40367,26.357620217888122
4.443528,26.62095719299675
4.485449,26.708860667232667
4.524471,26.165140163174005
4.563212,26.73585032223791
4.604098,26.92060053619582
4.642993,26.363991237770055
4.681924,26.75795671834321
4.720823,26.637563529975974
4.760228,26.90448209554204
4.800123,26.169101646184586
4.83902,26.276607071273695
4.879913,26.67185403300471
4.923835,26.77162543169624
4.962687,26.733443351185592
5.005572,26.307204599189717
5.044506,26.8761181745701
5.087434,26.265142183803178
5.126297,26.934189711435252
5.166599,26.935475935968647
5.205799,26.626302334889008
5.244618,26.572510308500018
5.285503,26.403367337338153
5.324398,26.32510193398809
5.363298,26.26675815458059
5.404184,26.2667575724048
5.444084,26.763487740933066
5.495949,26.34081099304916
5.544817,26.658446739596407
5.584702,27.005786518047966
5.623598,26.386482061734583
5.662493,26.427832183513335
5.708369,26.422606885154917
5.747268,26.598937107191755
5.797134,26.27981821747917
5.846004,26.29579721374268
5.891879,26.10076349030521
5.931781,26.335926386651497
5.974657,26.361315841298413
6.013555,26.199558540891523
6.053449,26.68996807684892
6.09334,26.35556229603697
6.132243,26.44206503134521
6.17213,26.82594191851633
6.211029,26.39071630580167
6.255905,26.522707609306543
6.294809,26.872010825199144
6.340679,26.85816133538445
6.379574,26.623817615772243
6.42246,26.0799284915393
6.461583,26.64143114848719
6.506161,26.3781760409192
6.544629,26.298758517220826
6.583392,26.14773355779723
6.62415,26.66152234409729
6.663573,26.553756398233517
6.703628,26.88395516222713
6.742491,26.932841977676677
6.781623,26.188994066372057
6.822862,26.571167463966052
6.862811,26.537404020770325
6.905031,26.418934272761145
6.944369,27.023242810687478
6.983577,26.043679735170407
7.022349,26.22983640588436
7.061753,26.666760652981925
7.104222,26.905630522812718
7.143118,26.537611648665035
7.181536,26.65931215554525
7.221422,26.56164974033417
7.260317,26.720128210027642
7.299217,26.54320111317693
7.338111,26.511654087976506
7.378005,26.895458382260884
7.426871,26.219271574688847
7.465771,26.518003595089215
7.505661,26.94235073533104
7.544559,26.46431600716606
7.583489,26.23715683352933
7.623347,26.231642839152677
7.663276,26.84163069186108
7.705164,27.001288439862222
7.744055,26.60793392295394
7.782922,26.764096362229715
7.821814,26.194587626994608
7.86071,26.68209585274801
7.900604,26.49405951497023
7.939623,26.082653405286848
7.978397,26.548340094118775
8.018293,26.798780361043026
8.057185,26.776427249525515
8.096081,26.284661394325415
8.135975,26.497141632766905
8.177974,26.105064249862856
8.216868,26.372997537153648
8.256761,26.790155954158987
8.295173,26.775151137008937
8.334069,26.241525546115202
8.372967,26.137984580823886
8.412864,26.48055955255561
8.455742,26.95086469759862
8.49488,26.393362416029852
8.534298,26.983866732136786
8.573094,26.62622255291457
8.612502,26.32272605606251
8.653515,26.05422992532944
8.692556,26.658337767211275
8.732944,26.145768978539977
8.771927,26.407715671155334
8.812049,18.602748599876467
8.850948,26.678024747256742
8.906796,26.39962351902167
8.945701,26.98664700414899
8.988577,26.252019667876823
9.027473,26.179066010952685
9.067366,26.82211159034787
9.10726,26.36072789752752
9.146156,26.392562096867692
9.185052,26.860136951954885
9.223949,26.70872703496423
9.262849,26.312790291661894
9.304732,26.565614693124825
9.344624,26.825827025796677
9.383524,26.827148984723515
9.423413,26.45837401607107
9.462312,26.713067793670533
9.501206,26.478436795653337
9.540102,26.2438885013776
9.578998,26.38035676718248
9.618893,26.086991510331757
9.657787,26.631824947410017
9.697684,26.64392489475763
9.738572,26.2738314838462
9.777468,26.055288306700184
9.817359,26.66030802381202
9.857255,26.663150249924232
9.896152,26.512921358820673
9.944022,26.398844534279963
9.982917,26.05729398265127
10.021812,26.96521981915177
10.061705,26.42351953089857
10.100608,26.839974561821215
10.140494,26.70946306636963
10.179395,26.69527239078643
10.22128,26.19637502476886
10.260174,26.213777787592782
10.300074,26.91541647533555
10.340959,26.453260524110593
10.379859,26.772491086256267
10.4216,26.04964454697851
10.460496,26.05508293772187
10.500392,26.522131742632943
10.540027,26.24144931594874
10.578984,26.721132725364786
10.619281,26.1459406850702
10.658023,26.279401909683116
10.69793,26.34755856992874
10.740859,26.75618926929622
10.779612,26.90029830710242
10.822191,26.25344504803148
10.861089,26.088558050892054
10.900984,26.56544934008875
10.940874,27.005720684711786
10.979777,26.848623729255657
11.022655,26.88051472747744
11.061551,26.451911772401257
11.10045,26.655855677091953
11.139344,26.430488340696463
11.17824,26.56160193900863
11.217138,26.97818690907627
11.256031,26.05043065638335
11.294928,26.583777015420846
11.335818,26.67613437248806
11.374714,26.910629304595812
11.41361,26.179487874894868
11.454812,26.059220348859743
11.494649,26.936674139945133
11.534804,26.527948426470076
11.5741,26.553916686487806
11.612889,26.734839041621285
11.651919,26.174438572347604
11.693786,26.531992520988073
11.733549,26.916128449778373
11.773442,26.93645000690164
11.812334,26.83455395576268
11.851231,26.76539735676308
11.890127,26.952578719115667
11.929023,26.258001530109176
11.967919,26.910649442744315
